text,rating,date,location,review_length,word_count
Delicious Thai restaurant!  If you're looking for fresh and flavorful Thai this is your spot! Service was fast and place is nicely decorated. Looks small from the inside but plenty of seating space.,5 ,"Dec 4, 2024","Temecula, CA",198,33
"Came here on Valentine, and the foods were good. We ordered the tomyum soup, duck with holy basil, and softshell crab with yellow curry.Every thing was good and no complaints. Though there are comparable restaurants around.Just wished there were crispy duck items in the menu.There was a deposit system where you have to deposit AUD $20 to reserve a table. We thought that Valentine could be crowded, so we made the deposit.Should have paid at the counter so they deducted the deposit.",3 ,"Feb 15, 2025","Jacksonville, FL",485,82
"unfortunately my husband reacts to msg (ajinomoto), which is a flavor enhancer not normally used in Thai food.  We thought we were safe in a Thai restaurant, but, to be safe, we talked with the waitress about his reaction , and the waitress, kindly, changed our order to avoid any possibility of msg.  We are currently in the emergency room, because he has a very bad reaction to the food.  Despite the waitress' assurance, the cooks avoided all flavoring EXCEPT msg.  My food was bland.  His was bland, but it contained msg, even though we specified no msg and even though we said he was so allergic he needed to go to the hospital.We will avoid Home in the future. Service was good except for the msg confusion.  Ambience was good.",1 ,"Oct 25, 2024","Kailua, HI",733,131
Food was delicious...the only drawback is the fact that cards are not accepted for payment  - only cash and bank transfers/e-wallet. Otherwise I highly recommend it.,4 ,"Jan 7, 2025","San Rafael, CA",165,26
Great place for Thai food and just as long as you know it is extremely busy in the evening so it can be chaotic. The portions are large and the 4 star rating holds true as some things are quite not on par with Thai but all in all a pretty good value for Sydney dining. Spicy basil chicken was good and dessert with shaved ice was lacking flavor.,4 ,"Feb 6, 2024","San Clemente, CA",345,69
"Really good Thai food.  Large portions and full of flavor.  Place was busy and crowded.  Tables were on the smaller side when ordering 2 meals an appetizer, rice and desert. Would recommend if you're craving Thai food.  Also if you're with a group this is a good venue to share something family style.  Also the fried donuts were tasty.",5 ,"Jan 2, 2024","Cupertino, CA",336,59
"Came here looklng for Indonesian food for dinner early evening. It was busy and we had to order from a large menu and pay before we ate. We tried to change the order since the waitress forgot a dish, but we couldn't. We ordered chicken Pad Thai and seafood glass noodle Pad Thai with 2 beers and a wine.The meal came at different times, so m wife had nearly finished her meal when I received mine. Quality and quantity was good - with a lot of noodles.The cost for 2 came to $75 which is relatively good value",4 ,"Feb 22, 2024","Portishead, United Kingdom",509,98
The food is good and the people are nice. The sitting down to look at the menu and then get up to order is a little odd for sure.,4 ,"Mar 29, 2024","Lakeside, CA",129,29
We were hungry and we when in and this was absolutely solid Thai. My partner and I loved it. Pad Thai rocked. Order it extra spicy and blow your brains out. Yummy,5 ,"Aug 24, 2022","Calgary, Canada",162,32
"Overall food was good. I enjoyed the papaya salad the most. I should habe gotten rice with it instead. Pad thai was way too sugary with too much red sauce coating it. Clean restaurant, nice atmosphere and satisfying service.",5 ,"Jan 1, 2024","Champaign, IL",224,39
"Nice food, large portions and low prices. I recommend the thai milk tea and the pad see ew, and the pineapple fried rice.",5 ,"Dec 14, 2023","Sydney, Australia",121,23
"Authentic Thai flavoursEven on a Wednesday evening, there was a queue outside the restaurant.   It took us half an hour to get a table but it was well worth the wait.  The food was delicious and redolent with Thai spices - lemongrass, chilli, galangal and coriander.  The tom yum with giant king prawns was outstanding and we loved our mango sticky rice dessert.",5 ,"Nov 6, 2019","Bulimba, Australia",362,63
"I usually love exploring different restaurants when I'm traveling... with that said, I happily came here twice within a week.  Some of their dishes, i.e. Som Tum, come in a HUGE portions, while I could've done with helpings more of their curry dishes i.e. their sweet Penang Curry.  Their Pad Thai was another HUGE dish that was delicious and served with the traditional sides of sugar, chili, and peanuts. My colleagues and I barely had enough room on the table for all the dishes we ordered (and shared family style).  I loved everything that was ordered with the exception of the Tamarind Sauce Fish. Other than that, let your happy self go wild. Home Thai is one of the best Thai restaurants I've eat at outside of Thailand. Jing jing.",5 ,"Mar 29, 2018","Chicago, IL",739,130
Best Thom Yum  soup ever! Good service. Very tasty!,5 ,"Jul 2, 2021","Knoxville, TN",51,9
"As others have stated, Home Thai Restaurant is a sprawl of culinary efficiency that's become a hot spot in Sydney, and while I developed a tremendous amount of respect for their speed and friendliness, I wasn't particularly blown away by their iteration of my all-time favorite Thai Dish Panang Curry.Star 1: How were the service and atmosphere?By Sydney Restaurant standards, Home Thai has some serious real estate, and they fill the space with some pretty high density seating. While you won't be knee to knee or elbow to elbow with your neighbors, you'll be able to hear every word they say, so maybe find a different location for an intimate date.However, if you're fine with some close quarters, you can sit back and watch the smooth efficiency with which Home Thai is run. Yes, the queue can grow long, but they burn through it quickly and from there can easily have your food out five minutes post order. It's all very impressive. Star.Star 2: How were the portions relative to the cost?There's great value to be had at Home Thai. Good sized curry dishes are priced as low as $12.00 AUD, which is blissfully cheap especially if you're coming from the States with a very advantageous exchange rate. Star. Stars 3 and 4: How was the food?My Panang Curry had all the potential in the world with the right mix of fresh ingredients and some fluffy accompanying jasmine rice. However, the consistency was a bit of a strike, with a more watery than creamy textures and a flavor profile that didn't quite pop in the way that I typically expect any yellow curry to do. Single Star. Star 5: Would you be excited to go back?Home Thai is a great experience, but their dishes fall a bit short of other Thai I've had. No Star .",3 ,"May 26, 2019","Los Angeles, CA",1720,306
"Very bad experience. First of all, the environment is noisyIt's strange that you can't call the waiter to orderThey can't even count the money wrong. They added a bowl of rice 4.5dollars and gave her 20. She wrote 10dollars and then gave me five dollars and five... Then they told her that she only paid me ten dollars. Is it possible for the waiter to charge more money for the restaurant without paying attention?The price is also lower than that of another Thai restaurant in HaymarketAn extra portion of rice hasn't been served for 20 minutes, but it was served after a rush. The dishes of the guests who came later than us were servedThen the mango glutinous rice had to be reminded to serve. After waiting for another 12 minutes, the pot was not collected for us, and the next table was all collected. Then we found that the mango was sour and immature",1 ,"Feb 15, 2023","Chippendale, Sydney, Australia",858,155
"This place definitely lives up to the hype! There was quite a line when we stopped by but the service is stunningly efficient here and the line moved quickly. The atmosphere is fantastic and bustling, with an open kitchen and conversation all around. We ordered the crispy pork belly (soo crispy, bursting with flavor and not too spicy) and the pineapple fried rice (fyi it's got seafood in it and the pineapple adds such a unique flavor) - we stuffed our faces and were left wishing we still had room for dessert, which looked incredible!",5 ,"Jan 3, 2019","Los Angeles, CA",539,95
