text,rating,date,location,review_length,word_count
delicious thai restaurant look fresh flavorful thai spot service fast place nicely decorate look small inside plenty seat space,5,"Dec 4, 2024","Temecula, CA",198,33
come valentine food good order tomyum soup duck holy basil softshell crab yellow curryevery thing good complaint comparable restaurant aroundjust wish crispy duck item menuthere deposit system deposit aud 20 reserve table think valentine crowd depositshould pay counter deduct deposit,3,"Feb 15, 2025","Jacksonville, FL",485,82
unfortunately husband react msg ajinomoto flavor enhancer normally thai food think safe thai restaurant safe talk waitress reaction waitress kindly change order avoid possibility msg currently emergency room bad reaction food despite waitress assurance cook avoid flavor msg food bland bland contain msg specify msg say allergic need hospitalwe avoid home future service good msg confusion ambience good,1,"Oct 25, 2024","Kailua, HI",733,131
food deliciousthe drawback fact card accept payment cash bank transfersewallet highly recommend,4,"Jan 7, 2025","San Rafael, CA",165,26
great place thai food long know extremely busy evening chaotic portion large 4 star rating hold true thing par thai pretty good value sydney dining spicy basil chicken good dessert shave ice lack flavor,4,"Feb 6, 2024","San Clemente, CA",345,69
good thai food large portion flavor place busy crowded table small order 2 meal appetizer rice desert recommend crave thai food group good venue share family style fried donut tasty,5,"Jan 2, 2024","Cupertino, CA",336,59
come looklng indonesian food dinner early evening busy order large menu pay eat try change order waitress forget dish not order chicken pad thai seafood glass noodle pad thai 2 beer winethe meal come different time m wife nearly finish meal receive quality quantity good lot noodlesthe cost 2 come 75 relatively good value,4,"Feb 22, 2024","Portishead, United Kingdom",509,98
food good people nice sitting look menu order little odd sure,4,"Mar 29, 2024","Lakeside, CA",129,29
hungry absolutely solid thai partner love pad thai rock order extra spicy blow brain yummy,5,"Aug 24, 2022","Calgary, Canada",162,32
overall food good enjoy papaya salad habe get rice instead pad thai way sugary red sauce coat clean restaurant nice atmosphere satisfy service,5,"Jan 1, 2024","Champaign, IL",224,39
nice food large portion low price recommend thai milk tea pad ew pineapple fry rice,5,"Dec 14, 2023","Sydney, Australia",121,23
authentic thai flavourseven wednesday evening queue outside restaurant take half hour table worth wait food delicious redolent thai spice lemongrass chilli galangal coriander tom yum giant king prawn outstanding love mango sticky rice dessert,5,"Nov 6, 2019","Bulimba, Australia",362,63
usually love explore different restaurant m travel say happily come twice week dish ie som tum come huge portion ve helping curry dish ie sweet penang curry pad thai huge dish delicious serve traditional side sugar chili peanut colleague barely room table dish order share family style love order exception tamarind sauce fish let happy self wild home thai good thai restaurant ve eat outside thailand jing jing,5,"Mar 29, 2018","Chicago, IL",739,130
well thom yum soup good service tasty,5,"Jul 2, 2021","Knoxville, TN",51,9
state home thai restaurant sprawl culinary efficiency s hot spot sydney develop tremendous respect speed friendliness not particularly blow away iteration alltime favorite thai dish panang currystar 1 service atmosphereby sydney restaurant standard home thai real estate fill space pretty high density seating will not knee knee elbow elbow neighbor ll able hear word maybe find different location intimate datehowever fine close quarter sit watch smooth efficiency home thai run yes queue grow long burn quickly easily food minute post order impressive starstar 2 portion relative costthere great value home thai good sized curry dish price low 1200 aud blissfully cheap especially come state advantageous exchange rate star star 3 4 foodmy panang curry potential world right mix fresh ingredient fluffy accompany jasmine rice consistency bit strike watery creamy texture flavor profile not pop way typically expect yellow curry single star star 5 excited backhome thai great experience dish fall bit short thai ve star,3,"May 26, 2019","Los Angeles, CA",1720,306
bad experience environment noisyit strange not waiter orderthey not count money wrong add bowl rice 45dollar give 20 write 10dollar give dollar tell pay dollar possible waiter charge money restaurant pay attentionthe price low thai restaurant haymarketan extra portion rice not serve 20 minute serve rush dish guest come later servedthen mango glutinous rice remind serve wait 12 minute pot collect table collect find mango sour immature,1,"Feb 15, 2023","Chippendale, Sydney, Australia",858,155
