text,rating,date,location
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",5 star rating,"Dec 4, 2024","I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",5 star rating,"Dec 4, 2024","I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
,,,
,,,
,,,
,,,
,,,"I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
,,,"I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
,,,
,,,"I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
,,,
,,," flavours
Even on a Wednesday evening, there was a queue outside the restaurant."
,,,
,,,Pork belly is really excellent as well as the 
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
,,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Delicious Thai restaurant!  <br>If you're looking for fresh and flavorful Thai this is your spot! <br>Service was fast and place is nicely decorated. Looks small from the inside but plenty of seating space.</span>",5 star rating,"Dec 4, 2024",Location
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Delicious Thai restaurant!  <br>If you're looking for fresh and flavorful Thai this is your spot! <br>Service was fast and place is nicely decorated. Looks small from the inside but plenty of seating space.</span>",5 star rating,"Dec 4, 2024",Location
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Delicious Thai restaurant!  <br>If you're looking for fresh and flavorful Thai this is your spot! <br>Service was fast and place is nicely decorated. Looks small from the inside but plenty of seating space.</span>",5 star rating,"Dec 4, 2024",Location
,,,Location
,,,Location
,,,
,,,Location
,,,Location
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Delicious Thai restaurant!  <br>If you're looking for fresh and flavorful Thai this is your spot! <br>Service was fast and place is nicely decorated. Looks small from the inside but plenty of seating space.</span>",5 star rating,"Dec 4, 2024","Temecula, CA"
,,,"Temecula, CA"
,,,"Temecula, CA"
,,,
,,,"Temecula, CA"
,,,"Temecula, CA"
,5 star rating,"Dec 4, 2024",
,5 star rating,,
,,"Dec 4, 2024",
,,,
,,,
